Date,Crossing ID #,Start Time,Group,Time of Crossing:,ID,Age/Sex/Class,Cross Gait,Mid Cross Behavior,Cross Complete?,Post Cross Food Behavior,Post Cross Other Behavior,Notes
7/29/25,10101,11:30:00,B,11:32:00,U,J,RN,TC,C,"FO, FE",NA,
7/29/25,10102,11:30:00,B,11:32:37,U,J,WK,NA,C,FE,NA,
7/29/25,10103,11:30:00,B,11:32:37,U,J,WK,TC,C,NA,MO,
7/29/25,10104,11:30:00,B,11:33:20,Rimba,SM,BWK,NA,C,NA,SB,
7/29/25,10105,11:30:00,B,11:33:55,U,J,RN,NA,C,NA,PL,
7/29/25,10106,11:30:00,B,11:33:56,U,J,WK,NA,C,FE,NA,
7/29/25,10107,11:30:00,B,11:36:00,Rimba,SM,WK,"MST, FE",C,NA,SG,
7/29/25,10108,11:30:00,B,11:36:50,U,J,RN,NA,C,FO,NA,
7/29/25,10109,11:30:00,B,11:39:39,Rimba,SM,RN,NA,C,NA,SG,
7/29/25,10110,11:30:00,B,11:41:15,Rimba,SM,WK,NA,C,FO,NA,
7/29/25,10111,11:30:00,B,11:41:15,U,J,WK,MST,C,FO,NA,
7/29/25,10112,11:30:00,B,11:45:00,Abu,SM,WK,NA,C,NA,SU,
7/29/25,10113,11:30:00,B,11:45:20,U,J,WK,MST,C,FO,NA,
7/29/25,10114,11:30:00,B,11:45:41,Chimp,AM,BWK,NA,C,PO,NA,
7/29/25,10115,11:30:00,B,11:45:53,U,J,WK,MST,C,"PO,FE",NA,
7/29/25,10116,11:30:00,B,11:47:00,Rimba,SM,WK,MST,I,NA,NA,
7/29/25,10117,11:30:00,B,11:47:24,U,AM,WK,"MST, PO",I,NA,NA,
7/29/25,10118,11:30:00,B,11:47:59,U,J,RN,NA,C,FE,NA,
7/29/25,10119,11:30:00,B,11:48:36,Rimba,SM,RN,MST,C,MV,NA,
7/29/25,10120,11:30:00,B,11:49:07,U,AM,WK,NA,C,NA,MO,
7/29/25,10121,11:30:00,B,11:49:07,U,J,WK,NA,C,NA,RE,
7/29/25,10122,11:30:00,B,11:49:40,U,SM,WK,"MST, FE",I,NA,NA,
7/29/25,10201,15:00:00,C1,15:10:22,Azzam,SM,RN,"TC, MST",C,NA,MO,Chasing observers (us)
7/29/25,10202,15:00:00,C1,15:10:30,Atlas,AM,RN,MST,C,NA,MO,
